,Frequency,Power
1,0.0033447948302851105,0.0018528423878159032
2,0.006689589660570221,0.001217909302426365
3,0.010034384490855332,0.0006267714183881444
4,0.013379179321140442,0.0010193702570512877
5,0.016723974151425552,0.003941134519155183
6,0.020068768981710665,0.008472351792157874
7,0.023413563811995775,0.011775387811535297
8,0.026758358642280884,0.012048572009646652
9,0.030103153472565994,0.011000698650190634
10,0.033447948302851103,0.011118732260853977
11,0.03679274313313621,0.008589372963105472
12,0.04013753796342133,0.002603990652208701
13,0.04348233279370644,0.004811847098811622
14,0.04682712762399155,0.017637241771903258
15,0.05017192245427666,0.02514544020403248
16,0.05351671728456177,0.02003085067460878
17,0.05686151211484688,0.011965747686669395
18,0.06020630694513199,0.008121649546512403
19,0.0635511017754171,0.00691232194577725
20,0.06689589660570221,0.01067250245904414
21,0.07024069143598732,0.02674688373297531
22,0.07358548626627243,0.04893446975680242
23,0.07693028109655754,0.05509076786116254
24,0.08027507592684266,0.038729689733796466
25,0.08361987075712776,0.02639683658770627
26,0.08696466558741288,0.040709142198909
27,0.09030946041769798,0.06877050779199886
28,0.0936542552479831,0.0822991776773115
29,0.0969990500782682,0.06815111060809866
30,0.10034384490855332,0.040190606909117604
31,0.10368863973883842,0.023621729457268446
32,0.10703343456912354,0.02389865338623674
33,0.11037822939940865,0.02891270059824501
34,0.11372302422969376,0.04928888290503746
35,0.11706781905997887,0.10521283238119919
36,0.12041261389026398,0.148280938187217
37,0.12375740872054909,0.10887968690551701
38,0.1271022035508342,0.04540369085028455
39,0.1304469983811193,0.07040683628796057
40,0.13379179321140441,0.15058691464935797
41,0.13713658804168954,0.180818583438305
42,0.14048138287197465,0.16193963623951993
43,0.14382617770225975,0.14750326595050392
44,0.14717097253254485,0.14985156061185603
45,0.15051576736282998,0.16012718418636165
46,0.15386056219311509,0.15909576885512924
47,0.1572053570234002,0.12046697077523202
48,0.16055015185368532,0.06222968580846397
49,0.16389494668397042,0.05699353381286762
50,0.16723974151425552,0.1155772381576907
51,0.17058453634454063,0.14895297112998002
52,0.17392933117482576,0.12933333965539545
53,0.17727412600511086,0.1289484215856691
54,0.18061892083539596,0.1599763199288922
55,0.18396371566568107,0.1520758296076209
56,0.1873085104959662,0.10613142007888425
57,0.1906533053262513,0.10951508958336717
58,0.1939981001565364,0.18350266073035557
59,0.19734289498682153,0.2607506674298497
60,0.20068768981710663,0.29850546743798173
61,0.20403248464739174,0.3151523921806349
62,0.20737727947767684,0.3172695946141127
63,0.21072207430796197,0.26652106872104114
64,0.21406686913824707,0.18457766522448255
65,0.21741166396853218,0.1541475967263873
66,0.2207564587988173,0.1945024743772843
67,0.2241012536291024,0.30257930582004067
68,0.2274460484593875,0.44795931439792575
69,0.23079084328967261,0.4927233338713549
